Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Smallest Bandwidth [Kbps]
10;NOT USED;418.06;134217728;0.72;0.72;0.76;TRUE;0.15;0.11;0.13;415.04;373.58;377.75;415.19;373.70;377.89;5.23;2.68;4.14;2.25;1.55;1.82;2606
10;USED;610.35;134217728;0.72;0.78;0.91;TRUE;194.90;0.11;96.61;414.99;82.33;187.44;607.16;188.86;284.06;8.90;1.39;4.33;2.65;1.10;2.02;2606
10;USED;610.88;134217728;0.74;0.78;0.84;TRUE;194.52;0.13;96.38;415.07;82.34;187.45;606.83;188.88;283.84;0.99;0.30;0.44;2.48;0.94;1.71;2606
10;NOT USED;418.96;134217728;0.70;0.72;0.78;TRUE;0.16;0.13;0.14;415.00;373.57;377.73;415.14;373.70;377.87;0.64;0.42;0.56;1.90;1.55;1.68;2606
20;NOT USED;21.39;2239815;1.05;1.26;2.71;TRUE;0.16;0.11;0.13;13.19;12.98;13.00;13.35;13.09;13.14;1.51;0.80;1.09;1.79;1.08;1.76;1395
20;NOT USED;20.25;2239815;1.06;1.26;2.76;TRUE;0.16;0.12;0.14;13.19;12.98;13.00;13.35;13.10;13.14;1.52;0.79;1.09;1.79;1.08;1.76;1395
20;USED;21.13;2239815;1.10;2.72;8.16;TRUE;12.23;0.09;4.81;9.24;1.77;5.35;18.46;4.67;10.17;9.54;1.00;3.87;2.16;0.99;1.58;1964
20;USED;22.08;2239815;1.08;2.90;7.06;TRUE;12.28;0.11;5.14;9.24;1.75;5.36;18.44;4.72;10.51;1.44;0.32;0.71;1.87;0.99;1.36;1964
20;NOT USED;20.25;2239815;1.06;1.26;2.76;TRUE;0.16;0.12;0.14;13.19;12.98;13.00;13.35;13.10;13.14;1.52;0.79;1.09;1.79;1.08;1.76;1395
20;NOT USED;18.45;2239815;1.06;1.20;1.36;TRUE;0.14;0.10;0.12;13.01;12.98;12.99;13.16;13.08;13.12;6.31;1.55;3.74;2.51;1.08;2.08;1395
20;USED;22.65;2239815;0.70;1.29;7.12;TRUE;12.24;0.11;4.99;9.24;1.75;5.36;17.25;4.71;10.36;1.42;0.35;0.71;1.87;0.99;1.36;1964
20;NOT USED;30.45;4293938;0.92;0.96;1.05;TRUE;0.15;0.10;0.12;24.88;24.85;24.86;25.04;24.95;24.99;7.13;1.90;4.24;3.23;1.79;2.26;1395
20;NOT USED;32.03;4293938;0.88;1.02;2.43;TRUE;0.16;0.12;0.14;25.22;24.84;24.87;25.38;24.96;25.02;1.54;0.80;1.10;1.79;1.08;1.76;1395
20;NOT USED;32.57;4293938;0.88;1.07;3.30;TRUE;0.16;0.12;0.13;25.43;24.84;24.88;25.59;24.96;25.02;1.53;0.76;1.08;1.79;1.08;1.76;1395
20;USED;36.38;4293938;0.70;1.01;3.46;TRUE;15.42;0.12;8.04;17.67;3.25;10.21;33.06;8.89;18.25;1.44;0.35;0.71;1.87;0.99;1.36;1964
20;USED;35.95;4293938;0.93;1.79;4.15;TRUE;15.39;0.09;8.02;17.67;3.27;10.21;33.06;8.82;18.23;9.15;1.28;3.78;2.24;0.99;1.60;1964
20;USED;36.62;4293938;0.90;1.90;3.97;TRUE;15.40;0.12;8.49;17.66;3.27;10.22;33.07;8.87;18.71;1.47;0.35;0.71;1.87;0.99;1.36;1964
20;NOT USED;32.03;4293938;0.88;1.02;2.43;TRUE;0.16;0.12;0.14;25.22;24.84;24.87;25.38;24.96;25.02;1.54;0.80;1.10;1.79;1.08;1.76;1395
20;USED;63.63;8869498;0.80;1.21;2.56;TRUE;24.55;0.10;13.82;36.43;6.66;21.01;60.98;18.09;34.83;9.51;1.59;3.72;2.24;0.99;1.60;1964
20;NOT USED;59.08;8869498;0.78;0.89;2.44;TRUE;0.16;0.12;0.13;52.10;51.26;51.32;52.26;51.40;51.46;1.52;0.80;1.09;1.79;1.08;1.76;1395
20;USED;64.25;8869498;0.80;1.27;2.18;TRUE;24.56;0.12;14.12;36.43;6.64;21.02;60.99;18.11;35.15;1.43;0.36;0.71;2.02;0.99;1.37;1964
20;NOT USED;59.08;8869498;0.78;0.89;2.44;TRUE;0.16;0.12;0.13;52.10;51.26;51.32;52.26;51.40;51.46;1.52;0.80;1.09;1.79;1.08;1.76;1395
20;NOT USED;56.67;8869498;0.79;0.82;0.87;TRUE;0.16;0.11;0.13;51.30;51.26;51.28;51.47;51.38;51.41;7.44;2.46;4.43;2.51;1.08;2.22;1395
20;NOT USED;98.84;15890720;0.75;0.86;2.83;TRUE;0.15;0.12;0.14;93.70;91.81;91.92;93.86;91.95;92.06;1.52;0.80;1.09;1.79;1.08;1.76;1395
20;NOT USED;98.84;15890720;0.75;0.86;2.83;TRUE;0.15;0.12;0.14;93.70;91.81;91.92;93.86;91.95;92.06;1.52;0.80;1.09;1.79;1.08;1.76;1395
20;USED;108.33;15890720;0.75;1.01;1.62;TRUE;39.82;0.12;22.80;65.23;11.81;37.60;105.06;32.30;60.40;1.43;0.35;0.71;2.02;0.99;1.37;1964
20;NOT USED;97.35;15890720;0.75;0.76;0.79;TRUE;0.16;0.10;0.13;91.85;91.81;91.83;92.01;91.91;91.96;6.68;2.01;4.18;2.51;1.79;2.19;1395
20;USED;107.34;15890720;0.75;0.97;1.48;TRUE;39.63;0.10;23.74;65.24;11.82;37.59;104.85;32.27;61.33;6.52;1.48;3.19;2.16;1.02;1.50;1964
20;NOT USED;193.61;32095088;0.72;0.80;2.23;TRUE;0.16;0.12;0.13;188.16;185.38;185.55;188.32;185.51;185.69;1.51;0.80;1.09;1.79;1.08;1.76;1395
20;NOT USED;193.61;32095088;0.72;0.80;2.23;TRUE;0.16;0.12;0.13;188.16;185.38;185.55;188.32;185.51;185.69;1.51;0.80;1.09;1.79;1.08;1.76;1395
